Confirmation Code,Student First Name,Student Middle Name,Student Last Name,Student Birthday,Student Gender,Student Street Address 1,Student Street Address 2,Student City,Student ZIP Code,Contact 1 First Name,Contact 1 Last Name,Contact 1 Phone,Contact 1 Email,Contact 1 Relationship,Contact 2 First Name,Contact 2 Last Name,Contact 2 Phone,Contact 2 Email,Contact 2 Relationship,Household Members,Household Monthly Income,Schools Applied
1,StudentFirst1,StudentMiddle1,StudentLast1,5/15/2010,Male,123 Fake St,,Cranston,01943,ContactFirst1,ContactLast1,401-123-4567,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Cranston - Comprehensive Community Action Program (CCAP);
2,StudentFirst2,StudentMiddle2,StudentLast2,6/19/2010,Male,124 Fake St,,Providence,01944,ContactFirst2,ContactLast2,401-123-4568,123@gt-fake-email.edu.org,Mother,,,,,,4,7432,Providence - Beautiful Beginnings;
3,StudentFirst3,StudentMiddle3,StudentLast3,6/19/2010,Male,125 Fake St,,Providence,01945,ContactFirst3,ContactLast3,401-123-4569,123@gt-fake-email.edu.org,Mother,,,,,,4,7432,Providence - Smith Hill Early Childhood Learning Center;
4,StudentFirst4,StudentMiddle4,StudentLast4,6/19/2010,Male,126 Fake St,,Providence,01946,ContactFirst4,ContactLast4,401-123-4570,123@gt-fake-email.edu.org,Mother,,,,,,4,6806,Providence - Ready to Learn Providence at CCRI Liston Campus;
5,StudentFirst5,StudentMiddle5,StudentLast5,3/19/2010,Male,127 Fake St,,Providence,01947,ContactFirst5,ContactLast5,401-123-4571,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
6,StudentFirst6,StudentMiddle6,StudentLast6,2/3/2010,Female,128 Fake St,,Newport,01948,ContactFirst6,ContactLast6,401-123-4572,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Newport - East Bay Community Action Head Start;
7,StudentFirst7,StudentMiddle7,StudentLast7,10/10/2009,Female,129 Fake St,,Central Falls,01949,ContactFirst7,ContactLast7,401-123-4573,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Central Falls - Capt. Hunt Early Learning Center;
8,StudentFirst8,StudentMiddle8,StudentLast8,1/23/2010,Male,130 Fake St,,Warwick,01950,ContactFirst8,ContactLast8,401-123-4574,123@gt-fake-email.edu.org,Mother,,,,,,4,7432,Warwick - Westbay Community Action Children's Center;
9,StudentFirst9,StudentMiddle9,StudentLast9,9/22/2010,Male,131 Fake St,,Providence,01951,ContactFirst9,ContactLast9,401-123-4575,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
10,StudentFirst10,StudentMiddle10,StudentLast10,5/2/2010,Female,132 Fake St,,Providence,01952,ContactFirst10,ContactLast10,401-123-4576,123@gt-fake-email.edu.org,Father,,,,,,3,6180,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
11,StudentFirst11,StudentMiddle11,StudentLast11,9/8/2009,Female,133 Fake St,,Providence,01953,ContactFirst11,ContactLast11,401-123-4577,123@gt-fake-email.edu.org,Father,,,,,,6,3051,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
12,StudentFirst12,StudentMiddle12,StudentLast12,4/2/2010,Female,134 Fake St,,Pawtucket,01954,ContactFirst12,ContactLast12,401-123-4578,123@gt-fake-email.edu.org,Mother,,,,,,5,3051,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
13,StudentFirst13,StudentMiddle13,StudentLast13,12/9/2009,Male,135 Fake St,,Pawtucket,01955,ContactFirst13,ContactLast13,401-123-4579,123@gt-fake-email.edu.org,Mother,,,,,,6,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
14,StudentFirst14,StudentMiddle14,StudentLast14,10/18/2010,Male,136 Fake St,,Providence,01956,ContactFirst14,ContactLast14,401-123-4580,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Providence - Ready to Learn Providence at CCRI Liston Campus;
15,StudentFirst15,StudentMiddle15,StudentLast15,5/10/2010,Male,137 Fake St,,Providence,01957,ContactFirst15,ContactLast15,401-123-4581,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
16,StudentFirst16,StudentMiddle16,StudentLast16,4/30/2010,Female,138 Fake St,,Newport,01958,ContactFirst16,ContactLast16,401-123-4582,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Newport - East Bay Community Action Head Start;
17,StudentFirst17,StudentMiddle17,StudentLast17,5/14/2010,Male,139 Fake St,,Providence,01959,ContactFirst17,ContactLast17,401-123-4583,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Providence - Beautiful Beginnings;
18,StudentFirst18,StudentMiddle18,StudentLast18,3/26/2010,Male,140 Fake St,,Pawtucket,01960,ContactFirst18,ContactLast18,401-123-4584,123@gt-fake-email.edu.org,Father,,,,,,6,3677,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
19,StudentFirst19,StudentMiddle19,StudentLast19,5/11/2010,Female,141 Fake St,,West Warwick,01961,ContactFirst19,ContactLast19,401-123-4585,123@gt-fake-email.edu.org,Mother,,,,,,3,5554,West Warwick - CHILD Inc.;
20,StudentFirst20,StudentMiddle20,StudentLast20,9/29/2009,Male,142 Fake St,,Central Falls,01962,ContactFirst20,ContactLast20,401-123-4586,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Central Falls - Capt. Hunt Early Learning Center;
21,StudentFirst21,StudentMiddle21,StudentLast21,12/4/2009,Female,143 Fake St,,Providence,01963,ContactFirst21,ContactLast21,401-123-4587,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Providence - Smith Hill Early Childhood Learning Center;
22,StudentFirst22,StudentMiddle22,StudentLast22,6/14/2010,Female,144 Fake St,,Cranston,01964,ContactFirst22,ContactLast22,401-123-4588,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Cranston - Comprehensive Community Action Program (CCAP);
23,StudentFirst23,StudentMiddle23,StudentLast23,6/14/2010,Male,145 Fake St,,Cranston,01965,ContactFirst23,ContactLast23,401-123-4589,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Cranston - Comprehensive Community Action Program (CCAP);
24,StudentFirst24,StudentMiddle24,StudentLast24,10/25/2010,Female,146 Fake St,,Providence,01966,ContactFirst24,ContactLast24,401-123-4590,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Providence - Beautiful Beginnings;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
25,StudentFirst25,StudentMiddle25,StudentLast25,12/9/2009,Female,147 Fake St,,Warwick,01967,ContactFirst25,ContactLast25,401-123-4591,123@gt-fake-email.edu.org,Mother,,,,,,5,6180,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
26,StudentFirst26,StudentMiddle26,StudentLast26,1/11/2010,Male,148 Fake St,,Providence,01968,ContactFirst26,ContactLast26,401-123-4592,123@gt-fake-email.edu.org,Mother,,,,,,4,6180,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
27,StudentFirst27,StudentMiddle27,StudentLast27,4/15/2010,Male,149 Fake St,,Pawtucket,01969,ContactFirst27,ContactLast27,401-123-4593,123@gt-fake-email.edu.org,Mother,,,,,,6,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
28,StudentFirst28,StudentMiddle28,StudentLast28,2/20/2010,Female,150 Fake St,,Central Falls,01970,ContactFirst28,ContactLast28,401-123-4594,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Central Falls - Capt. Hunt Early Learning Center;
29,StudentFirst29,StudentMiddle29,StudentLast29,8/23/2010,Female,151 Fake St,,Providence,01971,ContactFirst29,ContactLast29,401-123-4595,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
30,StudentFirst30,StudentMiddle30,StudentLast30,9/10/2009,Male,152 Fake St,,West Warwick,01972,ContactFirst30,ContactLast30,401-123-4596,123@gt-fake-email.edu.org,Father,,,,,,5,3677,West Warwick - CHILD Inc.;
31,StudentFirst31,StudentMiddle31,StudentLast31,9/21/2009,Female,153 Fake St,,Cranston,01973,ContactFirst31,ContactLast31,401-123-4597,123@gt-fake-email.edu.org,Mother,,,,,,5,4302,Cranston - Comprehensive Community Action Program (CCAP);
32,StudentFirst32,StudentMiddle32,StudentLast32,8/11/2010,Female,154 Fake St,,Warwick,01974,ContactFirst32,ContactLast32,401-123-4598,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
33,StudentFirst33,StudentMiddle33,StudentLast33,7/28/2010,Male,155 Fake St,,Pawtucket,01975,ContactFirst33,ContactLast33,401-123-4599,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
34,StudentFirst34,StudentMiddle34,StudentLast34,11/15/2009,Female,156 Fake St,,Cranston,01976,ContactFirst34,ContactLast34,401-123-4600,123@gt-fake-email.edu.org,Father,,,,,,3,2425,Cranston - Comprehensive Community Action Program (CCAP);
35,StudentFirst35,StudentMiddle35,StudentLast35,9/4/2009,Male,157 Fake St,,West Warwick,01977,ContactFirst35,ContactLast35,401-123-4601,123@gt-fake-email.edu.org,Mother,,,,,,4,6806,West Warwick - CHILD Inc.;
36,StudentFirst36,StudentMiddle36,StudentLast36,4/15/2010,Male,158 Fake St,,Providence,01978,ContactFirst36,ContactLast36,401-123-4602,123@gt-fake-email.edu.org,Mother,,,,,,3,3677,Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
37,StudentFirst37,StudentMiddle37,StudentLast37,9/24/2009,Male,159 Fake St,,West Warwick,01979,ContactFirst37,ContactLast37,401-123-4603,123@gt-fake-email.edu.org,Mother,,,,,,4,3051,West Warwick - CHILD Inc.;
